|Unnamed: 0|texto|fecha|incompleto|cuenta|cluster
26|27|rt @realdonaldtrump: a vote to cut taxes is a vote to put america first. it is time to take care of our workers, to protect our communities…|11-29-2017 23:29:44||2potus|7
27|28|rt @realdonaldtrump: this week, the senate can join the house &amp; take a strong stand for the middle class families who are the backbone of a…|11-29-2017 23:10:51||2potus|1
28|29|rt @vp: good seeing new hampshire's great governor @govchrissununu at the @whitehouse today. talked about @potus' priorities of tax cuts, j…|11-29-2017 20:15:46||2potus|7
29|30|rt @vp: as i told @radiotalkermike, i think the optimism you see in businesses large &amp; small is a response to @potus' vision for this count…|11-29-2017 20:15:44||2potus|1
30|31|just arrived in missouri. heading to st. charles convention center to deliver remarks on tax cuts now!|11-29-2017 20:15:28||2potus|7
31|32|rt @gopleader: the house stands ready to take the next step to get tax reform into law. |11-29-2017 18:33:58||2potus|5
32|33|rt @realdonaldtrump: economy growing! excluding hurricane effects, cea estimates that real gdp growth would have been 3.9% in q3.stock ma…|11-29-2017 14:51:58||2potus|3
33|34|rt @realdonaldtrump: just spoke to president xi jinping of china concerning the provocative actions of north korea. additional major sancti…|11-29-2017 14:51:57||2potus|0
34|35|rt @realdonaldtrump: so now that matt lauer is gone when will the fake news practitioners at nbc be terminating the contract of phil griffi…|11-29-2017 14:19:08||2potus|9
35|36|rt @realdonaldtrump: wow, matt lauer was just fired from nbc for “inappropriate sexual behavior in the workplace.” but when will the top ex…|11-29-2017 14:19:07||2potus|3
36|37|rt @realdonaldtrump: looks like another great day for the stock market. consumer confidence is at record high. i guess somebody likes me (m…|11-29-2017 14:19:05||2potus|3
37|38|rt @realdonaldtrump: great, and we should boycott fake news cnn. dealing with them is a total waste of time! |11-29-2017 14:19:03||2potus|9
38|39|rt @realdonaldtrump: .@foxandfriends, we are in record territory in all things having to do with our economy! |11-29-2017 14:18:53||2potus|3
39|40|rt @realdonaldtrump: after north korea missile launch, it's more important than ever to fund our gov't &amp; military! dems shouldn't hold troo…|11-29-2017 01:46:59||2potus|1
40|41|rt @vp: watch live! speaking now at the @hudsoninstitute's 2017 herman kahn award dinner about @potus' pro-jobs tax cuts and how pres. trum…|11-29-2017 00:34:30||2potus|7
41|42|rt @realdonaldtrump: “the conference board said that consumer sentiment was at its highest level in nearly 17 years in november. the consum…|11-28-2017 22:45:23||2potus|3
42|43|rt @realdonaldtrump: dow, s&amp;p 500 and nasdaq all finished the day at new record highs! |11-28-2017 22:30:17||2potus|1
43|44|rt @realdonaldtrump: remarks from the roosevelt room with @senatemajldr mitch mcconnell, @speakerryan and secretary of defense, general jam…|11-28-2017 22:12:50||2potus|3
44|45|rt @flotus: had a wonderful visit from @jba_nafw children today at the @whitehouse! #whitehousechristmas |11-28-2017 21:58:35||2potus|3
45|46|rt @narendramodi: glimpses from @ges2017 in hyderabad. |11-28-2017 21:58:20||2potus|3
46|47|rt @narendramodi: had a wonderful meeting with @ivankatrump, advisor to @potus and leader of the us delegation at the @ges2017. |11-28-2017 21:58:03||2potus|8
47|48|rt @statedept: .@ivankatrump comments on u.s. efforts to fuel entrepreneurship so that americans can turn their dreams into incredible lega…|11-28-2017 21:57:51||2potus|3
48|49|rt @scavino45: .@ivankatrump at @ges2017 in india with prime minister @narendramodi. #ges2017 |11-28-2017 21:57:46||2potus|3
49|50|rt @nikkihaley: thrilled to see @ivankatrump in india promoting female entrepreneurs. at home that means improving workforce development &amp;…|11-28-2017 21:57:27||2potus|1
50|51|rt @flotus: so important to thank our service members for their service, especially those away from their families during the holidays. htt…|11-28-2017 21:57:19||2potus|3
51|52|rt @whitehouse: statement from @presssec on the tax cuts and jobs act passing the senate budget committee: |11-28-2017 21:57:17||2potus|7
52|53|"rt @scavino45: ""i think it's regrettable that our democrat colleagues and leadership chose not to join us today. for a bill to become a law…"|11-28-2017 21:57:12||2potus|3
53|54|rt @presssec: .@potus was briefed, while missile was still in the air, on the situation in north korea.|11-28-2017 21:57:02||2potus|8
54|55|rt @flotus: the decorations are up! @whitehouse is ready to celebrate! wishing you a merry christmas &amp; joyous holiday season! |11-28-2017 19:33:21||2potus|1
55|56|"rt @statedept: .@ivankatrump to #ges2017 delegates: ""you are saving lives, creating jobs, and bringing hope to our communities."" "|11-28-2017 19:33:12||2potus|3
56|57|rt @ivankatrump: it was an honor to meet with you prime minister modi. thank you for co-hosting the 8th annual global entrepreneurship summ…|11-28-2017 19:33:03||2potus|3
57|58|rt @ivankatrump: thank you for the warm welcome. i’m excited to be in hyderabad, india for #ges2017. |11-28-2017 19:32:59||2potus|3
58|59|rt @realdonaldtrump: the tax cut bill is coming along very well, great support. with just a few changes, some mathematical, the middle clas…|11-27-2017 16:05:07||2potus|7
59|60|rt @realdonaldtrump: the good news is that their ratings are terrible, nobody cares! |11-27-2017 15:57:25||2potus|9
60|61|rt @realdonaldtrump: .@foxnews is much more important in the united states than cnn, but outside of the u.s., cnn international is still a…|11-25-2017 23:34:05||2potus|3
61|62|rt @realdonaldtrump: happy #smallbusinesssaturday!a great day to support your community and america’s job creators by shopping locally at…|11-25-2017 20:09:16||2potus|3
62|63|rt @realdonaldtrump: horrible and cowardly terrorist attack on innocent and defenseless worshipers in egypt. the world cannot tolerate terr…|11-24-2017 15:28:27||2potus|3
63|64|rt @realdonaldtrump: my great honor to join our incredible men and women of the @uscg, at the lake worth inlet station, in riviera beach, f…|11-23-2017 22:54:52||2potus|3
64|65|rt @flotus: thrilled to spend part of our thanksgiving w the local coast guard station in florida. thank you to all members of the military…|11-23-2017 22:54:22||2potus|3
65|66|rt @scavino45: .@potus @realdonaldtrump speaks with and offers a special thanks to groups of u.s. service members via a thanksgiving day te…|11-23-2017 22:54:06||2potus|6
66|67|rt @scavino45: .@potus @realdonaldtrump and @flotus melania visit the @uscg, lake worth inlet in riviera beach, florida on #thanksgiving da…|11-23-2017 22:54:03||2potus|6
67|68|rt @realdonaldtrump: happy thanksgiving! |11-23-2017 15:54:19||2potus|3
68|69|rt @flotus: preparations are underway to celebrate the holidays at the @whitehouse! |11-22-2017 18:54:52||2potus|3
69|70|rt @secondlady: thank you, hedlund trees in elma, washington for this gorgeous tree! we can't wait to decorate it for christmas! |11-22-2017 18:54:42||2potus|3
70|71|rt @realdonaldtrump: the @usnavy is conducting search and rescue following aircraft crash. we are monitoring the situation. prayers for all…|11-22-2017 14:08:04||2potus|3
71|72|rt @realdonaldtrump: president donald j. trump and @flotus melania participate in the pardoning of the national thanksgiving turkey at the…|11-22-2017 03:42:17||2potus|0
72|73|rt @flotus: congratulations to drumstick on the pardon from @potus ! we loved having you &amp; wishbone at the @whitehouse. |11-21-2017 22:55:34||2potus|1
73|74|rt @presssec: we had a surprise visitor in my office today and got to live a real life version of an episode of the “west wing”. |11-21-2017 22:55:23||2potus|3
74|75|rt @scavino45: today, before the official pardoning by @potus @realdonaldtrump, wishbone visited @presssec sarah sanders and the media in t…|11-21-2017 22:54:43||2potus|6
75|76|"rt @scavino45: .@sendavidperdue: ""the simple truth about america's awful tax code i learned as a fortune 500 ceo"""|11-21-2017 22:54:32||2potus|7
76|77|rt @realdonaldtrump: today, we continued a wonderful american tradition at the white house. drumstick and wishbone will live out their days…|11-21-2017 22:52:04||2potus|3
77|78|"rt @vp: the era of strategic patience is over. as @potus said, ""our thoughts turn to #ottowarmbier &amp; the countless others brutally affected…"|11-20-2017 23:26:17||2potus|1
78|79|rt @vp: at today’s @cabinet meeting @potus had this to say about our historic tax cuts plan: “we are committed to bringing urgent relief to…|11-20-2017 23:26:15||2potus|7
79|80|rt @presssec: we are getting closer everyday  under president trump's leadership to defeating the isis caliphate and passing massive tax cu…|11-18-2017 23:29:29||2potus|0
80|81|rt @scavino45: 8 border wall prototypes#buildthewall #usa🇺🇸 |11-18-2017 23:29:04||2potus|3
81|82|rt @scavino45: .@potus @realdonaldtrump with @vp mike pence, @senatemajldr mitch mcconnell &amp; @speakerryan yesterday, at the united states c…|11-18-2017 23:28:58||2potus|6
82|83|rt @scavino45: #ncaachamps @whitehouse! |11-18-2017 23:28:46||2potus|3
83|84|rt @vp: america has momentum right now. but in order to turn this momentum into sustained economic growth, @potus &amp; i are going to be fight…|11-18-2017 23:28:34||2potus|1
84|85|rt @flotus: thank you #china! 🇨🇳 🇺🇸 |11-18-2017 04:06:34||2potus|3
85|86|rt @flotus: thank you republic of #korea! 🇰🇷 🇺🇸 |11-18-2017 04:06:33||2potus|3
86|87|rt @vp: discussed fight against drugs w/ colombian vp @gr_naranjo following our visit to colombia in aug. made clear @potus &amp; i are committ…|11-18-2017 04:05:57||2potus|1
87|88|rt @vp: important briefing from usvi gov. mapp at the @whitehouse - good to see him again &amp; follow up on our visit to usvi last month. than…|11-18-2017 04:05:54||2potus|1
88|89|rt @realdonaldtrump: today, it was an honor to celebrate the collegiate national champions of 2016/2017 at the @whitehouse! #ncaachampions…|11-18-2017 04:05:22||2potus|3
89|90|rt @realdonaldtrump: together, we're going to restore safety to our streets and peace to our communities, and we're going to destroy the vi…|11-17-2017 22:57:21||2potus|3
90|91|rt @realdonaldtrump: congratulations to the house of representatives for passing the #taxcutsandjobsact — a big step toward fulfilling our…|11-16-2017 21:01:15||2potus|3
91|92|rt @vp: grateful to the brave men &amp; women of texas law enforcement for everything you do! |11-16-2017 20:41:02||2potus|1
92|93|rt @vp: like i said in texas yesterday, under @potus, we're going to cut taxes across the board for working families and businesses. and th…|11-16-2017 20:40:58||2potus|7
93|94|rt @whitehouse: sign your name to stand with president trump and support action on our broken tax system today: |11-16-2017 20:40:53||2potus|0
94|95|"rt @vp: great day for the american people – as @potus said, this ""is a big step toward fulfilling our promise to deliver historic tax cuts…"|11-16-2017 20:40:52||2potus|5
95|96|rt @statedept: .@potus advanced peace, promoted security, and worked to achieve a truly free and open indo-pacific on his visit to asia. ht…|11-16-2017 20:40:16||2potus|8
96|97|rt @presssec: glad @potus was able to help bring these americans home. |11-16-2017 20:39:38||2potus|8
97|98|rt @gopleader: the tax cuts and jobs act will deliver major tax relief for all americans. |11-16-2017 20:39:13||2potus|5
98|99|rt @gopleader: to those sick of scraping by and fighting for a raise, this is your comeback. #maga 🇺🇸 |11-16-2017 20:39:08||2potus|3
99|100|rt @housegop: passed → the tax cuts &amp; jobs act. #1182more #taxreform |11-16-2017 19:15:27||2potus|7
100|101|rt @realdonaldtrump: need all on the un security council to vote to renew the joint investigative mechanism for syria to ensure that assad…|11-16-2017 18:15:59||2potus|3
101|102|rt @realdonaldtrump: china is sending an envoy and delegation to north korea - a big move, we'll see what happens!|11-16-2017 18:15:58||2potus|3
102|103|rt @realdonaldtrump: while in the philippines i was forced to watch @cnn, which i have not done in months, and again realized how bad, and…|11-15-2017 13:34:01||2potus|3
103|104|rt @narendramodi: we look forward to welcoming you @ivankatrump. closer economic cooperation between india and usa helps our people, partic…|11-15-2017 13:33:39||2potus|3
104|105|rt @scavino45: 20,295 miles later #potusinasia has successfully concluded as @potus @realdonaldtrump lands on the south lawn of @whitehouse…|11-15-2017 13:33:28||2potus|6
105|106|"rt @foxbusiness: .@ivankatrump on tax reform plan: ""for small businesses it's the lowest tax rate since 1931."" "|11-15-2017 03:38:02||2potus|5
106|107|rt @ivankatrump: it was great to join secretaries acosta, devos and ross for the inaugural meeting of the task force on #apprenticeship exp…|11-15-2017 03:37:59||2potus|3
107|108|rt @ivankatrump: this week, global entrepreneurship week, spotlights the incredible contributions of innovators across the globe. i am exci…|11-15-2017 03:37:51||2potus|3
108|109|rt @realdonaldtrump: thank you asia! #usa🇺🇸 |11-14-2017 17:41:24||2potus|3
109|110|rt @scavino45: .@potus @realdonaldtrump makes remarks and poses for photo with embassy staff and their families at the sofitel philippine p…|11-14-2017 12:49:16||2potus|6
110|111|rt @scavino45: .@potus @realdonaldtrump departing #aseansummit in the philippines. #potusinasia |11-14-2017 12:49:01||2potus|6
111|112|rt @scavino45: .@potus @realdonaldtrump speaking to media at #aseansummit in the philippines. #potusinasia |11-14-2017 12:48:59||2potus|6
112|113|rt @realdonaldtrump: thank you to the amazing staff and their families of the united states embassy in the philippines. keep up the great w…|11-14-2017 09:36:59||2potus|3
113|114|rt @realdonaldtrump: one of the most accurate polls last time around. but #fakenews likes to say we’re in the 30’s. they are wrong. some pe…|11-14-2017 09:36:57||2potus|3
114|115|rt @realdonaldtrump: i will be making a major statement from the @whitehouse upon my return to d.c. time and date to be set.|11-14-2017 09:36:56||2potus|3
115|116|rt @scavino45: .@potus @realdonaldtrump with his good friend, prime minister of india @narendramodi at the #aseansummit in manila, philippi…|11-14-2017 09:36:38||2potus|6
116|117|rt @realdonaldtrump: after my tour of asia, all countries dealing with us on trade know that the rules have changed. the united states has…|11-14-2017 09:35:44||2potus|3
117|118|rt @realdonaldtrump: great to see @randpaul looking well and back on the senate floor. he will help us with tax cuts and reform!|11-14-2017 09:35:42||2potus|7
118|119|rt @scavino45: .@potus @realdonaldtrump arriving at air force one via marine one - to depart the #aseansummit in the philippines |11-14-2017 07:24:28||2potus|6
119|120|rt @realdonaldtrump: excited to be heading home to see the house pass a great tax bill with the middle class getting big tax cuts!#makeam…|11-14-2017 03:30:24||2potus|7
120|121|rt @realdonaldtrump: i am proud of the rep. house &amp; senate for working so hard on cutting taxes {&amp; reform.} we’re getting close! now, how a…|11-13-2017 21:42:19||2potus|1
121|122|rt @realdonaldtrump: happy to announce, i am nominating alex azar to be the next hhs secretary. he will be a star for better healthcare and…|11-13-2017 14:59:52||2potus|3
122|123|rt @realdonaldtrump: will be leaving the philippines tomorrow after many days of constant mtgs &amp; work in order to #maga! my promises are ra…|11-13-2017 12:34:12||2potus|1
123|124|rt @realdonaldtrump: great day of bilateral meetings at #aseansummit on trade, which we are turning around to be great deals for our countr…|11-13-2017 12:31:50||2potus|3
124|125|rt @realdonaldtrump: thank you! |11-13-2017 12:31:46||2potus|3
125|126|rt @realdonaldtrump: we had a wonderful visit to vietnam, thank you president tran dai quang! heading to the #aseansummit 50th anniv gala i…|11-13-2017 12:31:44||2potus|0
126|127|rt @scavino45: #aseansummit | philippines https://t.co/6qstrjsdj1||2potus|3
127|128|rt @scavino45: world leaders attending the #aseansummit⤵️ |11-13-2017 12:31:30||2potus|3
128|129|rt @scavino45: .@potus @realdonaldtrump joined other nations’ leaders @ the special gala celebration of the 50th anniv of #asean. #potusina…|11-13-2017 12:31:28||2potus|6
129|130|rt @usembassymanila: president trump has arrived in the philippines to attend the 31st asean summit and related summits. welcome and mabuha…|11-13-2017 12:31:26||2potus|0
130|131|rt @presssec: us delegation at 50th anniversary of asean gala dinner. #potusinasia #teamtrump |11-12-2017 14:25:51||2potus|3
131|132|rt @scavino45: happy 50th @asean! #aseansummit #potusinasia |11-12-2017 14:25:43||2potus|6
132|133|rt @presssec: view from the back of nighthawk 3 in manila, phillipines. #potusinasia |11-12-2017 14:25:33||2potus|3
133|134|rt @realdonaldtrump: just landed in the philippines after a great day of meetings and events in hanoi, vietnam! |11-12-2017 10:21:43||2potus|3
134|135|rt @scavino45: .@potus @realdonaldtrump departing presidential palace in hanoi, vietnam. #potusinasia🇺🇸🇻🇳 |11-12-2017 04:23:22||2potus|6
135|136|rt @scavino45: “we want progress, not provocation...we want stability, not chaos. and we want peace, not war!”@potus @realdonaldtrump#pot…|11-12-2017 04:23:20|...|2potus|6
136|137|rt @scavino45: .@potus @realdonaldtrump joint press conference w/ vietnamese president tran dai quang at the presidential palace is underwa…|11-12-2017 04:23:12||2potus|6
137|138|rt @scavino45: .@potus @realdonaldtrump motorcade arrives at the presidential palace in hanoi, vietnam. #potusinasia #teamtrumpbts |11-12-2017 02:59:45||2potus|6
138|139|rt @scavino45: vietnamese president tran dai quang welcomes president @realdonaldtrump to the presidential palace here in hanoi, vietnam. #…|11-12-2017 02:36:35||2potus|0
139|140|rt @scavino45: .@potus @realdonaldtrump welcoming ceremony underway in hanoi, vietnam. #potusinasia |11-12-2017 02:36:33||2potus|6
140|141|rt @realdonaldtrump: when will all the haters and fools out there realize that having a good relationship with russia is a good thing, not…|11-12-2017 00:19:21||2potus|3
141|142|rt @realdonaldtrump: met with president putin of russia who was at #apec meetings. good discussions on syria. hope for his help to solve, a…|11-12-2017 00:17:02||2potus|0
142|143|rt @realdonaldtrump: will be doing a joint press conference in hanoi, vietnam then heading for final destination of trip, the phillipines.|11-11-2017 23:37:11||2potus|3
143|144|rt @realdonaldtrump: president xi of china has stated that he is upping the sanctions against #noko. said he wants them to denuclearize. pr…|11-11-2017 23:37:09||2potus|0
144|145|rt @flotus: unforgettable memories! the great wall of #china #flotusinasia |11-11-2017 23:35:09||2potus|3
145|146|rt @flotus: wonderful to met gu gu 🐼 #flotusinasia |11-11-2017 23:35:07||2potus|3
146|147|rt @flotus: wonderful to spend time with military families at jber #alaska. thank you for your service! #happyveteransday |11-11-2017 23:35:05||2potus|3
147|148|rt @scavino45: .@potus @realdonaldtrump departing state banquet in hanoi, vietnam. #potusinasia🇺🇸🇻🇳 |11-11-2017 16:51:04||2potus|6
148|149|rt @scavino45: thank you, we’ll see you again soon. great photo! 🇺🇸🇯🇵 |11-11-2017 16:51:02||2potus|3
149|150|rt @scavino45: .@potus @realdonaldtrump making remarks at state banquet in hanoi, vietnam. #potusinasia🇺🇸🇻🇳 |11-11-2017 15:11:01||2potus|6
150|151|rt @scavino45: president tran dai quang of vietnam arrives at state banquet with @potus @realdonaldtrump in hanoi, vietnam. #potusinasia🇺🇸…|11-11-2017 15:10:55||2potus|6
151|152|rt @presssec: .@potus commends president tran dai quang of vietnam at state dinner in hanoi tonight and vows to continue to strengthen frie…|11-11-2017 15:10:53||2potus|8
152|153|rt @flotus: thank you president xi &amp; madame peng, for your warm hospitality. enjoyed our time &amp; looking fwd to future visits between our co…|11-11-2017 13:45:00||2potus|1
153|154|rt @scavino45: president tran dai quang of vietnam hosting a beautiful state banquet making remarks and toast...#potusinasia🇻🇳🇺🇸 |11-11-2017 13:44:32|...|2potus|0
154|155|rt @scavino45: .@potus @realdonaldtrump- hanoi, vietnam. #potusinasia🇺🇸🇻🇳 |11-11-2017 13:44:27||2potus|6
155|156|rt @realdonaldtrump: on this wonderful veterans day, i want to express the incredible gratitude of the entire american nation to our great…|11-11-2017 13:08:24||2potus|3
156|157|rt @realdonaldtrump: “presidential proclamation commemorating the 50th anniversary of the vietnam war” ➡️|11-11-2017 13:08:24||2potus|3
157|158|rt @scavino45: .@potus @realdonaldtrump arrives in hanoi, vietnam. join him via #facebooklive from the red carpet. #potusinasia🇺🇸🇻🇳 |11-11-2017 10:53:04||2potus|6
158|159|rt @scavino45: a📸of australia prime minister @turnbullmalcolm🤳at #apec2017 #apec with @potus @realdonaldtrump &amp; chinese president xi 🇺🇸🇨🇳🇦🇺…|11-11-2017 10:53:04||2potus|6
159|160|rt @scavino45: .@potus @realdonaldtrump boarding air✈️force one in da nang, vietnam after #apec2017. next🛑stop: hanoi, vietnam🇻🇳 #potusin…|11-11-2017 10:53:04||2potus|6
160|161|rt @realdonaldtrump: on behalf of an entire nation, happy 242nd birthday to the men and women of the united states marines!#usmc242 #sempe…|11-10-2017 13:24:55||2potus|3
161|162|rt @realdonaldtrump: the united states has been reminded time and again in recent years that economic security is not merely related to nat…|11-10-2017 13:24:53||2potus|3
162|163|rt @scavino45: happy 242nd birthday to the united states marines🎊🎉#usa🇺🇸11/10/1775🗓11/10/2017 |11-10-2017 13:24:48||2potus|3
163|164|rt @realdonaldtrump: the united states is prepared to work with each of the leaders in this room today to achieve mutually beneficial comme…|11-10-2017 10:27:05||2potus|3
164|165|rt @realdonaldtrump: today i am here to offer a renewed partnership with america -- to work together to strengthen the bonds of friendship…|11-10-2017 10:09:25||2potus|3
165|166|rt @realdonaldtrump: in more and more places throughout this region, citizens of sovereign and independent nations have taken greater contr…|11-10-2017 10:09:23||2potus|3
166|167|rt @realdonaldtrump: throughout my travels, i've had the pleasure of sharing the good news from america. i've had the honor of sharing our…|11-10-2017 09:41:27||2potus|9
167|168|rt @realdonaldtrump: just landed in da nang, vietnam to deliver a speech at #apec2017|11-10-2017 09:41:24||2potus|3
168|169|rt @scavino45: “people’s republic of china grants @realdonaldtrump an honor no foreign leader has had since its founding” |11-10-2017 09:41:18||2potus|3
169|170|rt @scavino45: .@potus @realdonaldtrump’s arrival in da nang, vietnam for #apec2017 ceo summit at the ariyana da nang exhibition center.#p…|11-10-2017 09:41:16||2potus|6
170|171|rt @scavino45: .@potus @realdonaldtrump’s arrival in da nang, vietnam for #apec2017#potusinasia🇺🇸🇻🇳 |11-10-2017 09:41:14||2potus|6
171|172|rt @realdonaldtrump: i am leaving china for #apec2017 in vietnam. @flotus melania is staying behind to see the zoo, and of course, the grea…|11-10-2017 01:21:45||2potus|3
172|173|rt @scavino45: news coverage in china on president @realdonaldtrump’s visit. #potusinasia🇺🇸🇨🇳 |11-10-2017 01:07:20||2potus|0
173|174|rt @scavino45: news coverage in china on president @realdonaldtrump’s visit. #potusinasia🇺🇸🇨🇳 |11-10-2017 01:07:16||2potus|0
174|175|rt @scavino45: magnificent evening at the great hall of the people in beijing, china. thank you president xi jinping &amp; madame peng liyua! #…|11-10-2017 01:07:11||2potus|0
175|176|rt @scavino45: beautiful state dinner hosted by chinese president xi &amp; madame peng liyuan @ the great hall. join the us delegation for #bts…|11-10-2017 01:07:08||2potus|0
176|177|rt @realdonaldtrump: my meetings with president xi jinping were very productive on both trade and the subject of north korea. he is a highl…|11-10-2017 01:06:51||2potus|0
177|178|rt @realdonaldtrump: i don’t blame china, i blame the incompetence of past admins for allowing china to take advantage of the u.s. on trade…|11-10-2017 01:06:50||2potus|3
178|179|rt @realdonaldtrump: in the coming months and years ahead i look forward to building an even stronger relationship between the united state…|11-10-2017 01:06:33||2potus|3
179|180|rt @presssec: expanding bilateral meeting with u.s. and chinese delegations. |11-09-2017 13:24:19||2potus|3
180|181|rt @scavino45: president trump &amp; president xi #potusinasia🇺🇸🇨🇳 |11-09-2017 13:23:30||2potus|0
181|182|rt @scavino45: china daily-beijing, china. @potus, @flotus, president xi jinping &amp; madame peng liyuan in front of the hall of supreme harmo…|11-09-2017 13:23:25||2potus|6
182|183|rt @scavino45: 🚨iowa- here is your great former governor...united states ambassador to china, @terrybranstad w/ @potus @realdonaldtrump a…|11-09-2017 13:23:14|...|2potus|6
183|184|rt @scavino45: “we reiterated our firm commitment to denuclearization of the peninsula.”president xi re: #northkorea|11-09-2017 13:23:07||2potus|0
184|185|rt @scavino45: 🚨happening now:@potus @realdonaldtrump and president xi make statements to guests and media at the great hall. #potusinasi…|11-09-2017 13:23:03||2potus|6
185|186|rt @scavino45: .@potus @realdonaldtrump makes remarks at the us-china business exchange-secretary tillerson &amp; ambassador branstad look on.…|11-09-2017 13:23:01||2potus|6
186|187|rt @scavino45: 🚨happening now- us-china business exchange🖋#potusinasia🇺🇸🇨🇳 |11-09-2017 13:22:59||2potus|6
187|188|rt @realdonaldtrump: president xi, thank you for such an incredible welcome ceremony. it was a truly memorable and impressive display! 📸htt…|11-09-2017 07:16:01||2potus|0
188|189|rt @statedept: president trump's remarks at an expanded bilateral meeting with chinese president xi. #potusinasia |11-09-2017 07:14:26||2potus|0
189|190|rt @usa_china_talk: first ladies melania trump and peng liyuan visited students at banchang elementary school where they sat in on a fashio…|11-09-2017 07:14:21||2potus|3
190|191|rt @presssec: chinese children’s choir sings to @potus and @flotus upon arrival at the great hall. #potusinasia |11-09-2017 07:13:46||2potus|8
191|192|rt @scavino45: .@potus @flotus welcoming upon their arrival to the great hall by chinese president xi &amp; first lady peng liyuan.10📸|11-09-2017 07:13:32||2potus|6
192|193|rt @scavino45: the beast outside of the great hall in beijing, china - awaits @potus @realdonaldtrump.#potusinasia🇺🇸🇨🇳 |11-09-2017 07:13:27||2potus|6
193|194|"rt @scavino45: ""the entire civilized world must unite to confront the north korean menace."" @potus #noko#potusinasia🇺🇸🇨🇳 "|11-09-2017 07:13:23||2potus|6
194|195|rt @scavino45: president xi &amp; madame peng liyuan watching jared &amp; @ivankatrump’s daughter, arabella—speaking mandarin &amp; reciting ancient ch…|11-09-2017 03:31:25||2potus|1
